start_time,duration
0,0.03
0.041,0.001
0.082,0.001
0.123,0.001
0.164,0.001
0.205,0.001
0.246,0.001
0.287,0.001
0.328,0.001
0.369,0.001
0.41,0.001
0.451,0.001
0.492,0.001
0.533,0.001
0.574,0.001
0.615,0.001
0.656,0.001
0.697,0.001
0.738,0.001
0.779,0.001
0.82,0.001
0.861,0.001
0.902,0.001
0.943,0.001
0.984,0.001
1.025,0.001
1.066,0.001
1.107,0.001
1.148,0.001
1.189,0.001
1.23,0.001
1.271,0.001
1.312,0.001
1.353,0.001
1.394,0.001
1.435,0.001
1.476,0.001
1.517,0.001
1.558,0.001
1.599,0.001
1.64,0.03
